Org ID,NCT ID,Brief Title,Overall status,Agency,Gender,Minimum Age,Phase,Agency class,Study type,Study Design,Secondary ID,First received,Start Date,Completion date,Last changed date,Verification date,First received result date,PCD,Countries,IS FDA regulated,IS section 801
CAMN107Y2101,NCT01456676,Nilotinib and LDE225 in the Treatment of Chronic or Accelerated Phase Myeloid Leukemia in Patients Who Developed Resistance to Prior Therapy,Completed,Novartis Pharmaceuticals,Both,18 Years,Phase 1,Industry,Interventional,"Allocation: Non-Randomized, Endpoint Classification: Safety Study, Intervention Model: Single Group Assignment, Masking: Open Label, Primary Purpose: Treatment",2011-000282-12,14-Oct-11,Jan-12,Feb-14,28-May-15,May-15,NULL,Feb-14,"
Canada
France
Germany
Italy
Spain
",Yes,Yes
CLDE225A2112,NCT01769768,Phase I Study to Evaluate the Effect of LDE225 on the Pharmacokinetics of Bupropion and Warfarin in Patients,Recruiting,Novartis Pharmaceuticals,Both,18 Years,Phase 1,Industry,Interventional,"Allocation: Non-Randomized, Endpoint Classification: Pharmacokinetics/Dynamics Study, Intervention Model: Parallel Assignment, Masking: Open Label, Primary Purpose: Treatment",NULL,15-Jan-13,Apr-13,Nov-16,24-Jan-16,Jan-16,NULL,Nov-16,"
United States
",Yes,No
CLDE225A2201,NCT01327053,A Phase II Study of Efficacy and Safety in Patients With Locally Advanced or Metastatic Basal Cell Carcinoma,"Active, not recruiting",Novartis Pharmaceuticals,Both,18 Years,Phase 2,Industry,Interventional,"Allocation: Randomized, Endpoint Classification: Efficacy Study, Intervention Model: Parallel Assignment, Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor), Primary Purpose: Treatment",2010-022629-14,30-Mar-11,Jun-11,Jul-16,14-Mar-16,Mar-16,24-Aug-15,Jun-13,"
Australia
Belgium
Canada
France
Germany
Greece
Hungary
Italy
Spain
Switzerland
United Kingdom
United States
",Yes,Yes
CLDE225B2209,NCT01350115,"Efficacy, Safety and Pharmacokinetics of Oral LDE225 in Treatment of Patients With Nevoid Basal Cell Carcinoma Syndrome (NBCCS)",Completed,Novartis Pharmaceuticals,Both,18 Years,Phase 2,Industry,Interventional,"Allocation: Randomized, Intervention Model: Parallel Assignment, Masking: Double Blind (Subject, Investigator), Primary Purpose: Treatment",2010-023819-34,6-May-11,Apr-11,Oct-12,23-Sep-15,Sep-15,18-Aug-15,Oct-12,"
Austria
Belgium
Canada
Germany
",No,NULL
CLDE225C2301,NCT01708174,A Phase II Study of Oral LDE225 in Patients With Hedge-Hog (Hh)-Pathway Activated Relapsed Medulloblastoma (MB),"Active, not recruiting",Novartis Pharmaceuticals,Both,4 Months,Phase 2,Industry,Interventional,"Endpoint Classification: Safety/Efficacy Study, Intervention Model: Single Group Assignment, Masking: Open Label, Primary Purpose: Treatment",NULL,11-Oct-12,May-13,Jul-16,11-Apr-16,Apr-16,NULL,Jul-16,"
Australia
Brazil
Canada
France
Germany
Italy
Netherlands
Russian Federation
Spain
Sweden
Switzerland
United Kingdom
United States
",Yes,No
CLDE225X1101,NCT01208831,An East Asian Study of LDE225,Completed,Novartis Pharmaceuticals,Both,18 Years,Phase 1,Industry,Interventional,"Intervention Model: Single Group Assignment, Masking: Open Label, Primary Purpose: Treatment",NULL,21-Sep-10,Oct-10,Oct-13,20-Apr-16,Apr-16,NULL,Oct-13,"
Hong Kong
Japan
Taiwan
",Yes,Yes
CLDE225X2101,NCT00880308,Dose Finding and Safety of Oral LDE225 in Patients With Advanced Solid Tumors,Completed,Novartis Pharmaceuticals,Both,18 Years,Phase 1,Industry,Interventional,"Intervention Model: Single Group Assignment, Masking: Open Label, Primary Purpose: Treatment",2008-005603-26,9-Apr-09,Mar-09,Jul-13,27-Dec-14,Dec-14,NULL,Jul-13,"
Spain
Switzerland
United Kingdom
United States
",Yes,No
CLDE225X2103,NCT01487785,"Dose-escalation, and Safety Study of LDE225 and Gemcitabine in Locally Advanced or Metastatic Pancreatic Cancer Patients",Completed,Novartis Pharmaceuticals,Both,18 Years,Phase 1,Industry,Interventional,"Endpoint Classification: Safety/Efficacy Study, Intervention Model: Single Group Assignment, Masking: Open Label, Primary Purpose: Treatment",2010-024218-70,5-Dec-11,Mar-12,Jul-14,24-Jan-16,Jan-16,NULL,Jul-14,"
Spain
United Kingdom
United States
",Yes,No
CLDE225X2104,NCT01125800,A Phase I Dose Finding and Safety Study of Oral LDE225 in Children and a Phase II Portion to Assess Preliminary Efficacy in Recurrent or Refractory MB,Completed,Novartis Pharmaceuticals,Both,12 Months,Phase 1/Phase 2,Industry,Interventional,"Allocation: Non-Randomized, Intervention Model: Single Group Assignment, Masking: Open Label, Primary Purpose: Treatment",2010-019348-37,12-May-10,Feb-11,Oct-14,4-Feb-16,Feb-16,29-Sep-15,Oct-14,"
Australia
Canada
France
Italy
United Kingdom
United States
",Yes,Yes
CLDE225X2114,NCT01576666,"Phase Ib, Dose Escalation Study of Oral LDE225 in Combination With BKM120 in Patients With Advanced Solid Tumors",Completed,Novartis Pharmaceuticals,Both,18 Years,Phase 1,Industry,Interventional,"Endpoint Classification: Safety Study, Intervention Model: Single Group Assignment, Masking: Open Label",2011-005016-28,10-Apr-12,Jul-12,Apr-15,18-Feb-16,Feb-16,NULL,Apr-15,"
Australia
Belgium
Canada
Germany
Italy
Spain
United Kingdom
United States
",Yes,No
